,y_actual,y_pred
445,0,0
446,0,0
447,1,1
448,1,1
449,0,0
450,0,0
451,0,0
452,1,1
453,0,0
454,1,1
455,0,0
456,0,0
457,0,0
458,1,1
459,0,0
460,0,0
461,1,1
462,1,1
463,1,1
464,0,0
465,1,1
466,1,1
467,1,1
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,1,1
474,1,1
475,0,0
476,1,1
477,1,1
478,1,1
479,0,0
480,0,0
481,1,1
482,1,1
483,0,0
484,1,1
485,0,0
486,0,0
487,0,0
488,0,0
489,1,1
490,0,0
491,0,0
492,1,1
493,1,1
494,1,1
495,0,0
496,1,1
497,0,0
498,0,0
499,0,0
500,0,0
501,1,1
502,0,0
503,1,1
504,1,1
505,1,0
506,0,0
507,1,1
508,0,0
509,0,0
510,1,1
511,1,1
512,0,0
513,0,0
514,1,1
515,1,1
516,0,0
517,1,1
518,0,0
519,0,0
520,0,0
521,0,0
522,1,1
523,1,1
524,0,0
525,0,0
526,1,1
527,0,0
528,1,1
529,0,0
530,1,1
531,1,1
532,0,0
533,0,0
534,1,1
535,1,1
536,0,0
537,1,1
538,1,1
539,0,0
540,0,0
541,1,1
542,1,0
543,0,0
544,1,1
545,1,1
546,0,0
547,0,0
548,0,1
549,1,1
550,0,0
551,1,1
552,0,0
553,0,0
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
560,1,1
561,1,1
562,1,1
563,0,0
564,0,0
565,1,1
566,1,1
567,1,1
568,0,0
569,0,0
570,1,1
571,0,0
572,0,0
573,0,0
574,0,0
575,1,1
576,1,1
577,1,1
578,1,1
579,0,0
580,1,1
581,1,1
582,0,0
583,0,0
584,0,0
585,0,0
586,1,1
587,1,1
588,0,0
589,1,1
590,1,1
591,1,1
592,1,1
593,1,1
594,0,0
595,1,1
596,0,0
597,0,0
598,0,0
599,0,0
600,1,1
601,0,0
602,0,0
603,1,1
604,0,0
605,1,1
606,0,0
607,0,0
608,0,0
609,1,1
610,0,0
611,1,1
612,0,0
613,1,1
614,0,0
615,0,0
616,1,1
617,0,0
618,0,0
619,1,1
620,1,1
621,1,1
622,0,0
623,1,1
624,1,1
625,0,0
626,1,1
627,1,1
628,1,1
629,0,0
630,1,1
631,0,0
632,1,1
633,0,0
634,1,1
635,0,0
636,0,0
637,1,1
638,0,0
639,1,0
640,0,0
641,1,1
642,0,0
643,1,1
644,1,1
645,0,0
646,0,0
647,0,0
648,1,1
649,0,0
650,0,0
651,0,0
652,1,1
653,0,0
654,0,0
655,0,0
656,0,0
657,1,1
658,1,1
659,1,1
660,1,1
661,0,0
662,0,0
663,1,1
664,0,0
665,1,1
666,0,0
667,0,0
668,0,0
669,1,1
670,1,1
671,0,0
672,1,1
673,0,0
674,0,0
675,1,1
676,0,1
677,0,0
678,0,0
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
684,1,0
685,1,1
686,0,0
687,1,1
688,0,0
689,1,1
690,1,1
691,0,0
692,1,0
693,1,1
694,0,0
695,1,1
696,1,1
697,0,0
698,0,0
699,0,0
700,1,1
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,1,0
708,0,0
709,1,1
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,1,1
721,1,1
722,1,1
723,0,0
724,1,1
725,1,1
726,1,0
727,1,1
728,0,0
729,1,1
730,0,0
731,0,0
732,1,1
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,1,1
740,1,1
741,1,1
742,1,1
743,0,0
744,0,0
745,0,0
746,0,0
747,1,1
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,1,1
754,1,1
755,1,1
756,1,1
757,1,1
758,0,0
759,1,1
760,0,0
761,0,0
762,0,0
763,1,1
764,0,0
765,1,1
766,0,0
767,0,1
768,0,0
769,0,0
770,0,0
771,1,1
772,0,0
773,1,1
774,1,1
775,0,0
776,0,0
777,1,1
778,0,0
779,1,1
780,1,1
781,0,0
782,1,1
783,1,1
784,0,0
785,1,1
786,1,1
787,1,1
788,0,0
789,1,0
790,0,0
791,0,0
792,1,1
793,1,1
794,1,1
795,0,0
796,1,1
797,0,0
798,0,0
799,1,1
800,0,0
801,1,1
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,1,1
809,1,1
810,0,0
811,1,1
812,1,1
813,1,1
814,1,1
815,1,1
816,0,0
817,0,0
818,1,1
819,0,0
820,1,1
821,1,1
822,1,1
823,1,1
824,0,0
825,1,1
826,1,1
827,0,0
828,1,1
829,1,0
830,1,1
831,1,1
832,1,1
833,0,0
834,0,0
835,1,1
836,0,0
837,1,1
838,0,0
839,1,1
840,1,1
841,1,1
842,0,0
843,1,1
844,1,1
845,0,0
846,1,1
847,1,1
848,0,1
849,0,0
850,1,1
851,1,1
852,1,1
853,1,1
854,1,1
855,1,1
856,1,1
857,1,0
858,1,1
859,1,1
860,0,0
861,0,0
862,1,1
863,0,0
864,1,1
865,0,0
866,1,1
867,1,1
868,1,1
869,0,0
870,1,1
871,1,1
872,1,1
873,1,1
874,0,0
875,0,0
876,1,1
877,0,0
878,1,1
879,1,1
880,1,1
881,1,1
882,0,0
883,1,1
884,0,0
885,1,1
886,1,0
887,1,1
888,1,1
889,1,1
890,1,1
891,0,0
892,1,1
893,0,0
894,0,1
895,0,0
896,1,1
897,0,0
898,1,1
899,0,0
900,0,0
901,0,0
902,1,1
903,0,0
904,0,0
905,1,1
906,0,0
907,1,1
908,0,0
909,1,1
910,1,1
911,0,0
912,0,0
913,0,0
914,1,1
915,1,1
916,1,1
917,0,0
918,1,1
919,1,1
920,1,1
921,0,0
922,0,0
923,1,1
924,0,0
925,1,1
926,0,0
927,0,0
928,1,1
929,0,0
930,0,0
931,1,1
932,0,0
933,0,0
934,0,0
935,1,1
936,0,0
937,0,0
938,1,1
939,1,1
940,1,1
941,0,0
942,1,1
943,1,0
944,0,0
945,1,1
946,0,0
947,0,0
948,1,1
949,0,0
950,1,1
951,0,0
952,1,1
953,0,0
954,1,1
955,0,0
956,0,0
957,1,1
958,0,0
959,1,1
960,0,0
961,0,0
962,1,0
963,1,1
964,0,0
965,0,0
966,1,1
967,0,1
968,1,1
969,0,0
970,1,1
971,1,0
972,1,1
973,0,0
974,0,0
975,1,1
976,1,1
977,1,1
978,0,0
979,0,0
980,1,1
981,0,0
982,1,1
983,1,1
984,1,1
985,0,0
986,0,0
987,1,1
988,1,1
989,0,0
990,0,0
991,1,1
992,0,0
993,1,1
994,0,0
995,1,1
996,0,0
997,1,1
998,0,0
999,1,1
1000,0,0
